Name,Pickup,Dropoff,Google Distance,bike,car,deviation_bike,deviation_car
Mohakhali To Bashundhara Residential Area (R/A),"23.778030352558627, 90.39817508179783","23.819979047760953, 90.43602058563276",14.1,12.05,12.05,-2.05,-2.05
Mohakhali To Farmgate,"23.778030352558627, 90.39817508179783","23.756163702068022, 90.38739806979204",4.2,5.2,5.2,1.0,1.0
Mohakhali To Agargaon,"23.778030352558627, 90.39817508179783","23.779353185410912, 90.37363763218647",5.1,5.44,5.44,0.34,0.34
Mohakhali To Shahbagh,"23.778030352558627, 90.39817508179783","23.73923470150866, 90.39463700857138",6.0,5.9,5.9,-0.1,-0.1
Mohakhali To Khilkhet,"23.778030352558627, 90.39817508179783","23.831056137581886, 90.42409697444373",11.8,10.0,10.0,-1.8,-1.8
Mohakhali To Uttarkhan,"23.778030352558627, 90.39817508179783","23.87265592237122, 90.44814494717664",21.7,18.57,18.32,-3.13,-3.38
Mohakhali To Dakshinkhan,"23.778030352558627, 90.39817508179783","23.85222513782949, 90.42655359169058",14.1,12.02,12.02,-2.08,-2.08
Mohakhali To Banasree,"23.778030352558627, 90.39817508179783","23.762013826955457, 90.43335231871605",8.1,7.39,7.39,-0.71,-0.71
Mohakhali To Aftab Nagar,"23.778030352558627, 90.39817508179783","23.764255603444784, 90.44664310179195",7.4,8.5,8.5,1.1,1.1
Mohakhali To Kawran Bazar,"23.778030352558627, 90.39817508179783","23.75164653195784, 90.39422350524823",3.9,3.78,3.78,-0.12,-0.12
Mohakhali To Malibagh,"23.778030352558627, 90.39817508179783","23.747044462653157, 90.41281377715275",6.4,5.98,5.98,-0.42,-0.42
Mohakhali To New Market,"23.778030352558627, 90.39817508179783","23.733043526135777, 90.38469965072998",8.1,7.22,7.22,-0.88,-0.88
Mohakhali To Naya Paltan,"23.778030352558627, 90.39817508179783","23.734460151459288, 90.41363525645356",7.8,7.91,7.91,0.11,0.11
Mohakhali To Airport Railway Station,"23.778030352558627, 90.39817508179783","23.85203431654994, 90.40809109492858",12.3,12.34,12.34,0.04,0.04
Mohakhali To Niketon,"23.778030352558627, 90.39817508179783","23.773018687295217, 90.40964243938514",3.5,3.77,3.77,0.27,0.27
Mohakhali To Wari,"23.778030352558627, 90.39817508179783","23.71719499147384, 90.41789022209967",10.6,9.64,10.18,-0.96,-0.42
Mohakhali To Segunbagicha,"23.778030352558627, 90.39817508179783","23.731501348262384, 90.40676928065153",7.4,8.18,8.18,0.78,0.78
Mohakhali To Motsho Bhaban,"23.778030352558627, 90.39817508179783","23.73418396434512, 90.40405739492458",7.2,6.21,6.21,-0.99,-0.99
Mohakhali To Shantinagar,"23.778030352558627, 90.39817508179783","23.738192811403504, 90.41416757924095",7.4,7.02,6.36,-0.38,-1.04
Mohakhali To Jatrabari,"23.778030352558627, 90.39817508179783","23.710978869431482, 90.43437323250768",11.7,11.0,10.93,-0.7,-0.77
Mohakhali To Sadarghat,"23.778030352558627, 90.39817508179783","23.704868129402115, 90.4157283750005",11.3,10.58,10.58,-0.72,-0.72
Mohakhali To Mohakhali,"23.778030352558627, 90.39817508179783","23.777854677596434, 90.4057479875048",2.1,1.65,1.65,-0.45,-0.45
Mohakhali To Banani DOHS,"23.778030352558627, 90.39817508179783","23.79326478964714, 90.39893695630103",2.1,2.12,2.12,0.02,0.02
Mohakhali To Baridhara DOHS,"23.778030352558627, 90.39817508179783","23.8125933316261, 90.41299491840999",5.4,5.44,5.44,0.04,0.04
Mohakhali To Abdullahpur,"23.778030352558627, 90.39817508179783","23.880087376148854, 90.40108172376549",13.1,13.06,13.06,-0.04,-0.04
Mohakhali To Ramna,"23.778030352558627, 90.39817508179783","23.733010605825754, 90.39838923841842",7.1,6.31,6.31,-0.79,-0.79
Mohakhali To Housebuilding,"23.778030352558627, 90.39817508179783","23.87472562982738, 90.40055033910889",12.6,12.46,12.46,-0.14,-0.14
Mohakhali To Shyamoli,"23.778030352558627, 90.39817508179783","23.770944853769944, 90.3643630494088",5.8,5.33,5.33,-0.47,-0.47
Mohakhali To Pallabi,"23.778030352558627, 90.39817508179783","23.82643315131396, 90.3642554210073",10.0,7.92,7.92,-2.08,-2.08
