hashed_id,estimated_pickup_latitude,estimated_pickup_longitude,estimated_dropoff_latitude,estimated_dropoff_longitude
I8SG1K,23.77453630,90.41435310,0.00000000,0.00000000
I8S5AN,23.82098471,90.41903012,23.73624460,90.34684720
I8RIH1,23.75316763,90.36945762,23.76846355,90.39995548
I8PQFJ,23.75388401,90.40922698,23.81143757,90.64165179
I8P1MO,23.75468157,90.41536454,23.82758780,90.42735640
I8SF2N,26.81648014,87.28158988,26.81641581,87.29220238
I8P5GF,23.76293700,90.39260700,23.72771140,90.39357190
I8STPF,22.35477110,91.82217009,22.34475302,91.82520803
I8QALD,23.72520603,90.41068744,23.78953960,90.38362496
I8SJD8,23.82034828,90.42027298,23.82611825,90.36408969
I8R9CF,23.80280754,90.36604676,23.70710223,90.41257329
I8RMQQ,23.72957600,90.42854600,23.73467165,90.36522621
I8RG1N,22.36521789,91.81212019,22.35866998,91.82395007
I8RA4S,22.34841992,91.82883874,22.35880114,91.81184862
I8T7NQ,23.85822387,90.40180296,23.87145749,90.39963556
I8TDC6,23.87796221,90.39063156,23.79110240,90.40104812
I8PJDB,23.74633400,90.34640000,23.73653751,90.41345179
I8RF13,23.75421690,90.36087250,23.73885100,90.39310000
I8PC2N,23.79758120,90.42325493,23.80478641,90.38158447
I8PKHQ,23.76552134,90.35968222,23.81217590,90.25724530
I8Q09S,23.99401397,90.39131150,23.76296498,90.43009020
I8QFI9,23.74182700,90.40999100,23.83128045,90.46297818
I8T5JB,23.75483100,90.37616200,23.74739379,90.34642909
I8RJL7,23.76476402,90.38551332,23.86892381,90.39364268
I8SH8J,23.75225972,90.38519539,23.79220000,90.42424000
I8SC50,27.70198782,85.33016313,27.67798100,85.32829150
I8SIO8,22.35913100,91.82192100,22.34513000,91.83421464
I8PIN0,23.77700912,90.42571250,23.82436180,90.46767426
I8PS5O,23.78658243,90.35043597,23.81685030,90.43253306
I8OKS8,23.78667883,90.41493505,23.79988000,90.35534000
I8PESP,23.72802954,90.41029382,23.78390700,90.39905600
I8PHH0,23.79000162,90.40541757,23.76473701,90.37119139
I8QPT5,23.61259382,90.50537311,23.73396400,90.42691800
I8T7CJ,23.86897166,90.40428491,23.75289110,90.38175416
I8P53F,23.86886630,90.39019442,23.83637567,90.41796535
I8ROLN,23.71649100,90.46858300,23.89379000,90.40348600
I8PKCS,23.87166982,90.39017759,23.70385445,90.42273996
I8P64O,23.78869100,90.34993500,23.75216958,90.38543165
I8TA98,23.80846400,90.35837100,23.78078000,90.42161000
I8ROIH,22.38598449,91.85929690,22.36084000,91.83420000
I8T44D,22.36606651,91.82542998,22.36312855,91.83030322
I8QO1L,23.76895131,90.37010287,23.82335161,90.22728134
I8T0TK,23.87466858,90.40012490,23.74973367,90.36862343
I8QQIR,23.85283280,90.40624704,23.80063775,90.45483550
I8RQQ0,23.82260204,90.39289811,23.88028079,90.39022773
I8S2LA,27.71354758,85.35565987,27.73297640,85.30810760
I8QHAA,23.75594004,90.34238264,23.79799074,90.36983941
I8PHIM,22.36889900,91.83306700,22.37270000,91.80724500
I8PQF1,22.32843857,91.81713693,22.35407900,91.83192596
I8OTKM,22.32832549,91.79168191,22.35930000,91.83069000
I8S8KL,23.79714342,90.44946405,23.72082500,90.40583200
I8TAJI,23.75619934,90.35705566,23.70247300,90.43832660
I8Q6BB,23.74643814,90.38582403,23.71402842,90.39870578
I8RIHC,22.38262922,91.85630690,22.36461917,91.82728373
I8T2F1,23.76892973,90.35552412,23.77503400,90.36737700
