estimated_pickup_latitude,estimated_pickup_longitude,pickup_hex,estimated_dropoff_latitude,estimated_dropoff_longitude,dropoff_hex
24.89026925,91.87871307,893ce36064fffff,24.8898389,91.8786565,893ce36064fffff
26.81163867,87.28026857,893c1c2432fffff,26.81152118,87.28023444,893c1c2432fffff
27.67869837,85.47751464,893c0288567ffff,27.67869837,85.47751464,893c0288567ffff
27.68725941,85.30277912,893c029922bffff,27.68725941,85.30277912,893c029922bffff
27.75317164,85.29001851,893c029b3bbffff,27.754209,85.2896963,893c029b3bbffff
27.66008504,85.32583985,893c02d6857ffff,27.6584102,85.3253791,893c02d6857ffff
27.72775308,85.3114916,893c0299563ffff,27.72687819,85.31079423,893c0299563ffff
27.69737949,85.30676253,893c02993dbffff,27.69648,85.30653,893c02993dbffff
27.67367633,85.36488064,893c02d6937ffff,27.6731149,85.36543873,893c02d6937ffff
27.70794239,85.30448265,893c0299077ffff,27.7079515,85.30413397,893c0299077ffff
27.71715559,85.3306419,893c029913bffff,27.71715559,85.3306419,893c029913bffff
27.72015476,85.27340222,893c0299453ffff,27.72015476,85.27340356,893c0299453ffff
27.70264207,85.28152797,893c029963bffff,27.70264207,85.28152797,893c029963bffff
27.77185691,85.36523335,893c0298133ffff,27.7712339,85.3668889,893c0298133ffff
27.67074121,85.47994003,893c02881cfffff,27.66925476,85.48018478,893c02881cfffff
27.7356506,85.32784201,893c0298247ffff,27.73554695,85.32815262,893c0298247ffff
26.81152118,87.28023444,893c1c2432fffff,26.81152118,87.28023444,893c1c2432fffff
27.6785802,85.34759983,893c02d6993ffff,27.68065854,85.34754183,893c02d6993ffff
27.7341946,85.30220035,893c0299513ffff,27.736191,85.3031074,893c0299513ffff
27.62754764,85.36369745,893c02d4d43ffff,27.62754764,85.36369745,893c02d4d43ffff
27.69334244,85.27998503,893c029966bffff,27.6953154,85.2811468,893c029966bffff
27.68165675,84.42974858,893c0659a83ffff,27.6836991,84.43252064,893c0659a83ffff
27.67342008,85.38146675,893c028b473ffff,27.67169227,85.38065705,893c028b473ffff
27.73566217,85.36255918,893c0299dc3ffff,27.73566217,85.36255918,893c0299dc3ffff
27.70814631,85.30879766,893c029902bffff,27.708,85.3101,893c029902bffff
27.73930417,85.325654,893c029821bffff,27.73822,85.32621,893c029821bffff
27.71298838,85.4139084,893c028a6a3ffff,27.71240845,85.41310528,893c028a6a3ffff
27.75380006,85.31868998,893c029863bffff,27.75399262,85.31772103,893c029863bffff
23.79290994,90.36142666,893cf10cc87ffff,23.79267,90.36066,893cf10cc87ffff
23.76162818,90.40784866,893cf10cba7ffff,23.76175751,90.40821679,893cf10cba7ffff
23.7930397,90.41917294,893cf13b22bffff,23.7930397,90.41917294,893cf13b22bffff
27.71534359,85.30890763,893c0299037ffff,27.71534359,85.30890763,893c0299037ffff
23.75574641,90.37429824,893cf10ca87ffff,23.75574641,90.37429824,893cf10ca87ffff
27.7128457,85.3175406,893c0299143ffff,27.71149778,85.31979855,893c0299143ffff
27.7169872,85.2982547,893c029908fffff,27.71683021,85.29828698,893c029908fffff
23.7524153,90.38060546,893cf10caafffff,23.75247,90.38058,893cf10caafffff
27.68006774,85.33409942,893c02d6d57ffff,27.6801066,85.33401746,893c02d6d57ffff
23.742607,90.36859,893cf10ca57ffff,23.74247213,90.36854524,893cf10ca57ffff
23.86215522,90.39345257,893cf10586fffff,23.863347,90.393436,893cf10586fffff
23.79105605,90.42597637,893cf139497ffff,23.79131957,90.42456485,893cf139497ffff
23.87042105,90.39070029,893cf10580fffff,23.86809488,90.38966284,893cf10580fffff
27.70739978,85.31034127,893c0299393ffff,27.70665065,85.31026765,893c0299393ffff
27.66376845,85.30621871,893c02d6e87ffff,27.6629394,85.3068906,893c02d6e87ffff
27.66376845,85.30621871,893c02d6e87ffff,27.6629394,85.3068906,893c02d6e87ffff
27.70563569,85.33524896,893c0299ec7ffff,27.70625,85.33637,893c0299ec7ffff
27.67230454,85.47983408,893c02881c3ffff,27.67230454,85.47983408,893c02881c3ffff
27.6873271,84.4198053,893c0659e0fffff,27.68831573,84.42037191,893c0659e0fffff
27.67258899,85.31308416,893c02d6c73ffff,27.67258899,85.31308416,893c02d6c73ffff
27.69682614,85.36745925,893c0299aafffff,27.69682614,85.36745925,893c0299aafffff
27.68341022,84.43131633,893c0659a83ffff,27.68341022,84.43131633,893c0659a83ffff
27.68624465,85.31338457,893c02d6c87ffff,27.68624465,85.31338457,893c02d6c87ffff
27.67652764,85.36137298,893c02d69afffff,27.67652764,85.36137298,893c02d69afffff
27.69346207,85.2744808,893c02d65b3ffff,27.69277,85.27454,893c02d65b3ffff
27.6927101,85.27883571,893c02d65a7ffff,27.6927101,85.27883571,893c02d65a7ffff
27.64393902,85.35251498,893c02d6b73ffff,27.64309255,85.35208415,893c02d6b73ffff
27.70481495,85.32059167,893c02993bbffff,27.70477933,85.320591,893c02993bbffff
27.67049297,85.40975466,893c028b1dbffff,27.67049297,85.40975466,893c028b1dbffff
27.64921308,85.30024979,893c02d6e53ffff,27.64921308,85.30024979,893c02d6e53ffff
27.72837958,85.32556113,893c02991b3ffff,27.72837958,85.32556113,893c02991b3ffff
27.69222353,85.30477736,893c0299223ffff,27.69222353,85.30477736,893c0299223ffff
27.67822183,85.47739394,893c028856fffff,27.6774558,85.47771111,893c028856fffff
27.67040835,85.47920275,893c02881cfffff,27.67040835,85.47920275,893c02881cfffff
27.67881327,85.34438521,893c02d6d67ffff,27.67881327,85.34438521,893c02d6d67ffff
27.74502647,85.33434654,893c02982abffff,27.74345535,85.33368199,893c02982abffff
27.69206886,85.30463554,893c0299223ffff,27.69206886,85.30463554,893c0299223ffff
27.64501416,85.37031647,893c02d4db3ffff,27.64475666,85.3704261,893c02d4db3ffff
27.68894423,85.27104724,893c02d65bbffff,27.68894875,85.27134105,893c02d65bbffff
27.74471814,85.35982836,893c0298377ffff,27.7434419,85.3584091,893c0298377ffff
