estimated_pickup_latitude,estimated_pickup_longitude,pickup_hex,estimated_dropoff_latitude,estimated_dropoff_longitude,dropoff_hex
27.72545585,85.29924344,893c029955bffff,27.724935,85.29748595,893c029955bffff
27.75731358,85.30185275,893c02986d7ffff,27.75731358,85.30185275,893c02986d7ffff
27.73834687,85.30422918,893c029958fffff,27.73834687,85.30422918,893c029958fffff
23.90635329,90.2605813,893cf100db3ffff,23.90751785,90.26242698,893cf100db3ffff
23.8718366,90.39923608,893cf105827ffff,23.8719154,90.39930582,893cf105827ffff
27.68837985,85.31346269,893c029934bffff,27.688062,85.314378,893c029934bffff
27.7346897,85.3078455,893c0299507ffff,27.73452255,85.31046367,893c0299507ffff
27.73753378,85.32079451,893c02982cbffff,27.7378009,85.3212747,893c02982cbffff
27.66591063,85.4242406,893c028b173ffff,27.66551437,85.42290721,893c028b173ffff
27.66656984,85.35124496,893c02d6957ffff,27.66614313,85.35129223,893c02d6957ffff
27.71172215,85.33724181,893c0299e83ffff,27.7129228,85.336753,893c0299e83ffff
27.70890233,85.37156772,893c0299877ffff,27.70890233,85.37156772,893c0299877ffff
27.6990778,85.35613529,893c0299a83ffff,27.6995946,85.35678379,893c0299a83ffff
27.69456939,85.3315914,893c02d6d97ffff,27.69499302,85.33287484,893c02d6d97ffff
27.72711234,85.33330668,893c02991a7ffff,27.7270242,85.3332926,893c02991a7ffff
27.67878607,85.47733719,893c0288567ffff,27.68110538,85.47829416,893c0288567ffff
26.81787569,87.28415374,893c1c24e53ffff,26.81787569,87.28415374,893c1c24e53ffff
27.69456939,85.3315914,893c02d6d97ffff,27.69499302,85.33287484,893c02d6d97ffff
27.69138139,85.28357349,893c02992c3ffff,27.69000961,85.28614681,893c02992c3ffff
27.69247706,85.271869,893c02d65b3ffff,27.69247706,85.271869,893c02d65b3ffff
27.66679552,85.33946201,893c02d68afffff,27.6667431,85.3394266,893c02d68afffff
27.6912357,85.3169011,893c0299347ffff,27.6915602,85.3166398,893c0299347ffff
